Username,Caption,Hashtags,Timestamp,Likes,Followers,CommentCount,profileUrl,postUrl,Engagement Score,Comment desc,Translated_Comments,Sentiment_Scores,Sentiment_Score
earthyvas,song winds growing often told didnt talent music despite always greatest love music carried toughest times life although could never play instruments sing became convinced couldnt express musically however passion always sing play sacred instrument would allow feelings flow beautifully months ago close friend triquerta brought native american bass flute picnic astonished never seen one close heard healing melody real life long ordered two flutes give ancient instrument try see aligns never imagined could play something beautiful thinking gives chills im nowhere near knowing exactly play create melodies blend well together know cant wait journey learning express beautiful wooden portal creation im looking forward buying flutes one want many possibly earthyvibes nativeamericanflute flutemusic natureaesthetic bohostyle bohosoul mindfulness heartspace bohoclothing,#BohoStyle,Jun 20,8840,205000,166,https://www.instagram.com/earthyvas,https://www.instagram.com/p/C8b3l42qT0w/,4.393170731707317,"[
    ""Looking forward to seeing where this flute journey takes us 🧡🪈 love to hear you play it!"",
    ""Can you send the address of the person who told you music wasn't for you, I would like to have a word with them"",
    ""Everybody who loves music has a talent for music 😍 it’s so beautiful to watch you playing the flute ❤"",
    ""This sounds so beautiful!! You are truly divine ❤️"",
    ""You are the beauty that claims the world 😍❤️"",
    ""Can't be thankful and grateful enough for being the stepping stone towards your musical journey, lots of love and inspiration may fill your path always 🤍🪈🤲"",
    ""It sounds so beautiful indeed 🥰"",
    ""Oh the sound is so beautiful ☺️✨"",
    ""So so beautiful ❤️😍 amazing""
]
","['Looking forward to seeing where this flute journey takes us 🧡\U0001fa88 love to hear you play it!', ""Can you send the address of the person who told you music wasn't for you, I would like to have a word with them"", 'Everybody who loves music has a talent for music 😍 it’s so beautiful to watch you playing the flute ❤', 'This sounds so beautiful!! You are truly divine ❤️', 'You are the beauty that claims the world 😍❤️', ""Can't be thankful and grateful enough for being the stepping stone towards your musical journey, lots of love and inspiration may fill your path always 🤍\U0001fa88🤲"", 'It sounds so beautiful indeed 🥰', 'Oh the sound is so beautiful ☺️✨', 'So so beautiful ❤️😍 amazing']","[0.784, 0.3612, 0.923, 0.9197, 0.5859, 0.8226, 0.7177, 0.7177, 0.8603]",0.7435666666666666
daniengl162,good start new week heels summer getreadhme casualstyle styleinspo styleblogger fashion fashionstyle fashionblogger lookoftheday tatoo blackandwhite straubing selfie selflove nylonsthatsme women instagood instagram,#LookOfTheDay,Yesterday at 10:36,1191,21700,66,https://www.instagram.com/daniengl162,https://www.instagram.com/p/C9Jj0_rI3oG/,5.792626728110599,"[
    ""Love ❤️"",
    ""Mega sexy🔥🔥🔥🔥"",
    ""Mein Gott bist du wunderschön. 🌹❤️"",
    ""Wow Absolutely Stunning & Very Beautiful 😍"",
    ""❤️ guten Morgen und einen schönen ruhigen Wochenanfang 💋. Lg Dannieelle 😘🥰"",
    ""Dankeschön, den wünsche ich dir auch. Siehst umwerfend aus. Liebe Grüße Michael"",
    ""Sehr schönes Outfit 😍"",
    ""Guten morgen du siehst umwerfend hübsch aus wünsche dir einen schönen angenehmen Dienstag.. 🤝🤭🤗🌹😘""
]
","['Love ❤️', 'Mega sexy🔥🔥🔥🔥', 'My god you are beautiful.🌹❤️', 'Wow Absolutely Stunning & Very Beautiful 😍', '❤️ Good morning and a nice quiet start to the week 💋.LG Dannielle 😘🥰', 'Thank you, I wish you that too.Look stunning.Kind regards Michael', 'Very nice outfit 😍', 'Good morning you see stunning pretty from wish you a nice pleasant Tuesday .. 🤝🤭🤗🌹😘']","[0.6369, 0.0, 0.2732, 0.9032, 0.6908, 0.6369, 0.4754, 0.9477]",0.5705125
freeformingem,beautiful mindset beauty mindset explore bohostyle diy hair curlyhairstyles protectivestyles protectivehairstyle fyp pretty photooftheday curlygirl earthyjewelry jewelrystyle blue beautytips beautyhacks beautybloggers youtube explorepage protectyourhair mua blackgirlmakeup naturalbeauty naturalface lightmakeup selflove instadaily mood,#BohoStyle,Yesterday at 20:54,233,6911,16,https://www.instagram.com/freeformingem,https://www.instagram.com/p/C9KqfK4OjaC/,3.6029518159455938,"[
    ""😍 beautiful"",
    ""So beautiful"",
    ""❤️❤️❤️❤️❤️❤️❤️ beautiful senari with a beautiful woman is a perfect day,❤️❤️❤️❤️❤️❤️❤️"",
    ""So pretty"",
    ""You look awesome 🤩😍"",
    ""Nice 😍😍😍"",
    ""Looking gorgeous 🥰🥰🥰✌️🙌😍😍"",
    ""🔥🔥🙌🙌❤️""
]
","['😍 beautiful', 'So beautiful', '❤️❤️❤️❤️❤️❤️❤️ beautiful scenery with a beautiful woman is a perfect day,❤️❤️❤️❤️❤️❤️❤️', 'So pretty', 'You look awesome 🤩😍', 'Nice 😍😍😍', 'Looking gorgeous 🥰🥰🥰✌️🙌😍😍', '🔥🔥🙌🙌❤️']","[0.5994, 0.6361, 0.91, 0.5413, 0.6249, 0.4215, 0.6124, 0.0]",0.5432
marinaingvarsson,floating paradise vacationmode,#Fashionista,Yesterday at 19:38,5497,129000,97,https://www.instagram.com/marinaingvarsson,https://www.instagram.com/p/C9Kh2E-g2Ww/,4.336434108527132,"[
    ""Hmm… that looks so incredibly good! Enjoy your meal dear! 🤤"",
    ""That is the best floating breakfast I’ve ever seen 😍🤤"",
    ""Omg so beautiful I wanna go there"",
    ""Huge Life goal, whaaat 🔥"",
    ""Loving the content here"",
    ""This looks like paradise 😍"",
    ""This looks like Bali or Greece"",
    ""Wowww, this looks amazing"",
    ""Such an@incredible view""
]
","['Hmm… that looks so incredibly good! Enjoy your meal dear! 🤤', 'That is the best floating breakfast I’ve ever seen 😍🤤', 'Omg so beautiful I wanna go there', 'Huge Life goal, whaaat 🔥', 'Loving the content here', 'This looks like paradise 😍', 'This looks like Bali or Greece', 'Wowww, this looks amazing', 'Such an@incredible view']","[0.8859, 0.6369, 0.6361, 0.3182, 0.5994, 0.7717, 0.3612, 0.5859, 0.0]",0.5328111111111111
dianakaloev,night remember,#FashionGoals,Jun 27,16087,196000,110,https://www.instagram.com/dianakaloev,https://www.instagram.com/p/C8uqE2-NAgE/,8.263775510204082,"[""at this point liebe ich Diana‘s Geburtstag mehr als meinen Eigenen haha"",
""Man hat einfach bei den Videos im Broadcast das Gefühl gehabt, in der Gang dabei zu sein🥹 habs geliebt🫶🏽😭"",
""also ich hab mich richtig gefreut für dich das du den köpper gelernt hast, beste an der Geburtstagswoche🥹"",
""in deinem broadcast zu sein ist das größte blessing of my life"",
""Diese Haarfarbe 😮‍💨 komme nicht drauf klar🫡❤️‍🔥"",
""Kann bitte jede Woche deine Geburtstags-Woche sein 🤍🔥"",
""Hallo zusammen, Diana hatte zuletzt in den Storys eine Haarkur gezeigt, die die Haare toll pflegt. Erinnert sich jemand vllt welches Produkt das war? 😁 hab mir zu dem Zeitpunkt keinen Screenshot gemacht, könnte"", ""jetzt aber gute Haarpflege gebrauchen 🥲 vllt erinnert sich ja jemand ❤️"",
""Wo finde ich den Channel? 😮""]","[""at this point I love Diana's birthday more than my own haha"", 'You just felt like you were loved in the gear in the videos in Broadcast\U0001faf6🏽😭', 'So I was really happy for you that you learned the Köpper, the best in the birthday week\U0001f979', 'Being in your Broadcast is the biggest Blessing of My Life', 'This hair color 😮\u200d💨 does not get along with it\U0001fae1❤️\u200d🔥', 'Can please be your birthday week every week 🤍🔥', ""Hello everyone, Diana had recently shown a hair treatment in the stories that the hair takes great care.Does anyone remember which product it was?😁 I didn't make a screenshot at the time, could"", 'But now use good hair care 🥲 maybe someone remembers ❤️', 'Where can I find the channel?😮']","[0.802, 0.7506, 0.8576, 0.4939, 0.0, 0.3182, 0.6249, 0.8462, 0.0]",0.5214888888888889
laurenladnier,okay thought done paris pics lil dumperoo fits,#pintereststyle,Today at 23:10,25642,125000,70,https://www.instagram.com/laurenladnier,https://www.instagram.com/p/C8lHi_jPno9/,20.5696,"[""All of these are amazing 🙂‍↕️"",
""sooo cute love the vibe made me fall in love with Paris ❤️❤️❤️"",
""PARIS JUICE 🧃❤️‍🔥"",
""Oui oui 🫶🏽🥐"",
""NEVER STOP 😍😍😍"",
""can we trade lives for like one day plsssss"",
""love the outfits <3"",
""that one saying: Monella vagabonda! 😍""]","['All of these are amazing 🙂\u200d↕️', 'sooo cute love the vibe made me fall in love with Paris ❤️❤️❤️', 'PARIS JUICE 🧃❤️\u200d🔥', 'Yes yes \U0001faf6🏽🥐', 'NEVER STOP 😍😍😍', 'can we trade lives for like one day plsssss', 'love the outfits <3', 'that one saying: Monella vagabonda! 😍']","[0.5859, 0.9081, 0.0, 0.6597, 0.3465, 0.3612, 0.7964, 0.0]",0.457225
susiewilliamss,hot lets get dressed hope everyones enjoying gloorrrious weather epic kimono shopallaboutaudrey shoes nomadicstateofmindhome sstyle bohofashion ootd bohostyle grwm bohojewelry hippiestyle fyp bohemian bohooutfit,#BohoStyle,Jun 24,15539,35800,198,https://www.instagram.com/susiewilliamss,https://www.instagram.com/p/C8mueT1NQ5B/,43.95810055865922,"[""❤️ Where is the dress from plz x"",
""Que cabelos lindossss, tanto o corte como o tom do loiro!😍"",
""Dress is gorgeous!! Label?"",
""Where did you get the sandals from, please? 😍"",
""Where are your necklaces from? They are so pretty"",
""I love your jewelry"",
""Gorgeous kimono! Where is that from?"",
""HAIR 😍🤩"",
""Gorgeous gal""]","['❤️ Where is the dress from plz x', 'What beautiful hair, both the cut and the blonde tone! 😍', 'Dress is gorgeous!! Label?', 'Where did you get the sandals from, please? 😍', 'Where are your necklaces from? They are so pretty', 'I love your jewelry', 'Gorgeous kimono! Where is that from?', 'HAIR 😍🤩', 'Gorgeous gal']","[0.0772, 0.4753, 0.6792, 0.3182, 0.6269, 0.6369, 0.6476, 0.0, 0.6124]",0.4526333333333334
myleatherfashiondiary,leather jacket dundee ds buy httpswwwcrazyoutfitsdeenjacketsleatherjacketdundeedshtml bikerjacket croco crocoleather crocodile crocojacket croc croceffect casadei louboutins leatherwomanleather leatheroutfitblackleatherblondegirl leatherboots boots allinleather boots goddess fashiondaily stivali fashion fashioninspo fashiondiaries casadeiboots fashionist fashionmodel leathercatsuit outfit fyp foryou,#FashionDiaries,Jul 06,1409,46600,45,https://www.instagram.com/myleatherfashiondiary,https://www.instagram.com/p/C9E192vshP2/,3.1201716738197427,"[
    ""Hello Vanessa you wear the beautiful black jacket you wear the beautiful black gloves you wear the beautiful black leather skirt you wear the beautiful black boots ❤️"",
    ""😍😍😍😍😍😍😍😍😍🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️"",
    ""Love the outfit 🖤"",
    ""You look good baby"",
    ""her style is so cunty. just beautiful"",
    ""Looking absolutely beautiful today😍"",
    ""Girl Stylish leather outfits and thighboots 😍🔥🔥😍"",
    ""🙌😍🖤❤️"",
    ""very pretty, it looks very good on you😍""
]
","['Hello Vanessa you wear the beautiful black jacket you wear the beautiful black gloves you wear the beautiful black leather skirt you wear the beautiful black boots ❤️', '😍😍😍😍😍😍😍😍😍🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️', 'Love the outfit 🖤', 'You look good baby', 'her style is so cunty. just beautiful', 'Looking absolutely beautiful today😍', 'Girl Stylish leather outfits and thighboots 😍🔥🔥😍', '🙌😍🖤❤️', 'very pretty, it looks very good on you😍']","[0.9485, 0.0, 0.6369, 0.4404, 0.6326, 0.6361, 0.0, 0.0, 0.7708]",0.45170000000000005
dianakaloev,forever denim girl,#FashionGoals,Jul 01,13688,196000,115,https://www.instagram.com/dianakaloev,https://www.instagram.com/p/C845FlsNhbF/,7.04234693877551,"[
    ""Der Look ist ja mal ne 10/10 💯🤯❤️‍🔥😍"",
    ""Woher ist das schöne Set 🌺✨🤍"",
    ""das 3. bild ist so stunning - wow ❤️‍🔥"",
    ""Du siehst ja mal sowas von toll aus Diana 🔥"",
    ""Lieb alles 🔥 Du strahlst so viel Leichtigkeit und Leben aus 🥰"",
    ""🔥 Fave denim Girl"",
    ""Girl wie schön kann man nur sein?! 😰🔥🔥"",
    ""deine jawline 🔪😩"",
    ""Du bist einfach ne Granate 🔥""
]
","['The look is a 10/10 💯🤯❤️\u200d🔥😍', 'Where is the beautiful set 🌺✨🤍', 'The 3rd picture is so stunning - wow ❤️\u200d🔥', 'You see something great from Diana 🔥', 'Love everything 🔥 you radiate so much ease and life from 🥰', '🔥 Fave denim Girl', 'Girl how beautiful can you be?!😰🔥🔥', 'Your Jawline 🔪😩', 'You are just a grenade 🔥']","[0.0, 0.5994, 0.8149, 0.6249, 0.7893, 0.4404, 0.636, 0.0, 0.0]",0.4338777777777778
italy_stylish_chic,italystylishchic annaparischic newyorkclassychic fabulous cocomademoisellestyle losangeles fashionlover fashionblogger beverlyhills fashionstyle nyc amazing usa newyork fashionaddict california rodeofashion beautiful shoutout manhattan collaboration business fifthavenue chic style elegant classy brand promotion,#FashionAddict,Jul 07,1382,40500,12,https://www.instagram.com/italy_stylish_chic,https://www.instagram.com/p/C9Hc8F6AtYN/,3.4419753086419753,"[
    ""..🔥 #bellissima"",
    ""Everything about you is beautiful!"",
    ""So damn beautiful ❤️😍🌼🌷🌷🌷🌷🌷✨⭐️👸🏾😍"",
    ""beautiful picture ❤️"",
    ""So beautiful ❤️"",
    ""🔥🌹🧸"",
    ""Beautiful is a understatement 🥰🥰🥰"",
    ""Cute""
]
","['.. #bellissimo', 'Everything about you is beautiful!', 'So damn beautiful ❤️😍🌼🌷🌷🌷🌷🌷✨⭐️👸🏾😍', 'beautiful picture ❤️', 'So beautiful ❤️', '🔥🌹🧸', 'Beautiful is a understatement 🥰🥰🥰', 'Cute']","[0.0, 0.636, 0.2927, 0.5994, 0.6361, 0.0, 0.5994, 0.4588]",0.40280000000000005
